"id","name","gender","school_level","shift","student_drop_count"
1923056,"Saket, Block J-SBV (Vir Chander Singh Garhwali)","Boys","Sarvodaya Sr.Secondary","General",232
1105003,"Brahmpuri-SBV","Boys","Sarvodaya Sr.Secondary","Evening",231
1412248,"Pooth Kalan, Rohini Extn., Sector 20- SBV","Boys","Sarvodaya Sr.Secondary","Evening",230
1821031,"Dwarka, Sector-VI, G(Co-ed)SSS","Co-ed","Sr.Secondary","General",230
1821280,"Samalka- GGSSS","Girls","Sr.Secondary","Morning",229
1413077,"Begumpur-GBSSS","Boys","Sr.Secondary","Evening",229
1720173,"VASANT KUNJ- GBSSS","Boys","Sr.Secondary","Evening",228
1923042,"Deoli-SKV (Bachhan Prasad)","Girls","Sarvodaya Sr.Secondary","Morning",226
1925057,"Molar Band, No.2-GBSSS","Boys","Sr.Secondary","Evening",226
1925017,"Tuglakabad, Railway Colony- SBV","Boys","Sarvodaya Sr.Secondary","Evening",224
1516143,"West Patel Nagar-SBV","Boys","Sarvodaya Sr.Secondary","General",222
1106001,"Nand Nagri, Block B-SBV (B.P)","Boys","Sarvodaya Sr.Secondary","Evening",221
1925447,"Madanpur Khadar Extn. , Phase-III- SBV","Boys","Sarvodaya Sr.Secondary","Evening",221
1002363,"Gazipur-GBSSS","Boys","Sr.Secondary","Evening",221
1310017,"Narela, SBV","Boys","Sarvodaya Sr.Secondary","General",221
1515025,"Tagore Garden, No.2-SKV","Girls","Sarvodaya Sr.Secondary","General",220
1925402,"Molar Band, No.2- SBV","Boys","Sarvodaya Sr.Secondary","Evening",219
1412007,"Pooth Kalan-SBV","Boys","Sarvodaya Sr.Secondary","Evening",219
1923031,"Neb Sarai-G(Co-ed)SS","Co-ed","Secondary","General",218
1618008,"Uttam Nagar-SBV","Boys","Sarvodaya Sr.Secondary","Evening",217
1923026,"Bhatti Mines-G(Co-ed)SSS","Co-ed","Sr.Secondary","Evening",214
1104014,"Mustufabad-GBSS","Boys","Secondary","Evening",207
1106118,"East of Loni Road, DDA Flats-GBSSS","Boys","Sr.Secondary","Evening",207
1617258,"Baprola- GBSSS","Boys","Sr.Secondary","General",206
1412254,"Mubarkpur Dabas,  No.2-GBSSS","Boys","Sr.Secondary","Evening",206
1310019,"Bawana-GBSSS","Boys","Sr.Secondary","General",203
1413345,"SOSE, Sector- 23, Rohini","Co-ed","SOSE(Sr.Secondary)","General",203
1106002,"Dilshad Garden, Block C-GBSSS","Boys","Sr.Secondary","Evening",202
1106263,"Old Seemapuri, Block GH-GBSS","Boys","Secondary","Evening",200
1104335,"Sonia Vihar-GGSSS","Girls","Sr.Secondary","Morning",200
1309253,"Jahangirpuri, Block A- SBV","Boys","Sarvodaya Sr.Secondary","Evening",199
1618065,"Janakpuri, Block A-GBSSS","Boys","Sr.Secondary","Evening",199
1924043,"Hari Nagar Ashram-S(Co-ed) V","Co-ed","Sarvodaya Sr.Secondary","General",199
1617035,"Nangloi, J.J. Colony-GGSSS","Girls","Sr.Secondary","Morning",198
1001002,"Vivek Vihar-SBV","Boys","Sarvodaya Sr.Secondary","Evening",198
1106011,"New Seemapuri-GBSSS","Boys","Sr.Secondary","Evening",197
1002016,"Mayur Vihar, Phase I, Pkt.IV-SBV(Shaheed Capt.Hanifuddin)","Boys","Sarvodaya Sr.Secondary","Evening",197
1001208,"Anand Vihar - SBV","Boys","Sarvodaya Sr.Secondary","Evening",196
1617227,"Ranhaula- SBV","Boys","Sarvodaya Sr.Secondary","General",195
1106265,"Mandoli Extension-GBSSS","Boys","Sr.Secondary","Evening",195
1514022,"Hari Nagar, Block-L  S(Co-ed)V","Co-ed","Sarvodaya Sr.Secondary","General",195
1310014,"Alipur-GBSSS","Boys","Sr.Secondary","General",193
1925003,"Chirag Enclave-S(Co-ed)V (Kautilya)","Co-ed","Sarvodaya Sr.Secondary","General",192
1106122,"Old Seemapuri, Block GH-GGSS","Girls","Secondary","Morning",192
1516013,"Prem Nagar-GBSSS","Boys","Sr.Secondary","Evening",191
1105109,"West Jyoti Nagar-GBSSS","Boys","Sr.Secondary","Evening",191
1822257,"Goela Khurd-GBSSS","Boys","Sr.Secondary","General",191
1105018,"Jafrabad, Zeenat Mahal(Urdu Medium)-SKV","Girls","Sarvodaya Sr.Secondary","Morning",191
1821029,"Dwarka, Sector II-G(Co-ed)SSS","Co-ed","Sr.Secondary","General",191
1617012,"Tikri Kalan-SKV","Girls","Sarvodaya Sr.Secondary","General",190
1104020,"Gokalpuri-SKV","Girls","Sarvodaya Sr.Secondary","Morning",189
1412008,"Sultanpuri, Block H- SBV","Boys","Sarvodaya Sr.Secondary","Evening",189
1106021,"Seemapuri-SKV (Vishwamitra)","Girls","Sarvodaya Sr.Secondary","Morning",187
1105002,"Gautam Puri-SBV","Boys","Sarvodaya Sr.Secondary","Evening",187
1001004,"Kanti Nagar-SBV","Boys","Sarvodaya Sr.Secondary","Evening",187
1617017,"Nangloi, Sultanpuri Road-GBSSS","Boys","Sr.Secondary","General",185
1412029,"Sultanpuri, Block H-SKV","Girls","Sarvodaya Sr.Secondary","Morning",185
1617223,"Nihal Vihar, Nangloi- Govt. Sarvodaya Co-ed Vidyalaya","Co-ed","Sarvodaya Sr.Secondary","General",185
1309279,"Jahangirpuri,Plot No.5, A-Block - SKV","Girls","Sarvodaya Sr.Secondary","General",185
1104010,"Dayalpur-GBSSS","Boys","Sr.Secondary","Evening",184
1207116,"Burari-GBSSS-1207116","Boys","Sr.Secondary","Evening",184
1413070,"Rohini, Sector 16, Pocket A-SKV","Girls","Sarvodaya Sr.Secondary","Morning",183
1002014,"New Kondli-GBSSS","Boys","Sr.Secondary","Evening",183
1925031,"Tuglakabad, Railway Colony-SKV (Rani Jhansi)","Girls","Sarvodaya Sr.Secondary","Morning",182
1104011,"Sabhapur-GGSSS","Girls","Sr.Secondary","Morning",181
1310031,"Alipur-SKV","Girls","Sarvodaya Sr.Secondary","General",181
1207111,"Nathupura-GGSSS","Girls","Sr.Secondary","Morning",181
1002198,"Kondli-SBV","Boys","Sarvodaya Sr.Secondary","Evening",181
1925005,"New Friends Colony-GBSSS (Chander Shekhar Azad)","Boys","Sr.Secondary","Evening",178
1516140,"West Patel Nagar-GBSSS","Boys","Sr.Secondary","General",178
1309263,"Libaspur-GGSSS","Girls","Sr.Secondary","Morning",178
1515007,"Madipur, No.1-SBV","Boys","Sarvodaya Sr.Secondary","Evening",178
1925341,"HARKESH NAGAR GGSSS","Girls","Sr.Secondary","Morning",178
1618277,"Mohan Garden-GBSSS No.2","Boys","Sr.Secondary","Evening",177
1413002,"Rohini, Sector 3-SV","Co-ed","Sarvodaya Sr.Secondary","General",177
1106006,"Shahdara, Mansarovar Park, No.1-GBSSS","Boys","Sr.Secondary","General",177
1821022,"Samalka-SKV","Girls","Sarvodaya Sr.Secondary","Morning",177
